Variable,Difference,CI_lower,CI_upper,Cohens_d
Public_prop,0.5157589285714285,0.4986160714285714,0.5317421875,3.9416417946207885
HCV_active,0.049107142857142856,0.022321428571428572,0.07589285714285714,0.2267435506779009
Partners,0.10558035714285714,0.012053571428571429,0.19867187499999997,0.1462399777518865
Recept_sharing,0.515267857142857,0.06125892857142858,1.0715066964285713,0.12889942774077642
Drug_out,-0.12276785714285716,-0.47888392857142853,0.22524553571428552,-0.04514002036037104
Partner_HCV_prop,-0.0008928571428571429,-0.0017857142857142859,-0.00022321428571428573,-0.13453845101480819
Withdrawal,-0.18526785714285715,-0.34598214285714285,-0.03119419642857148,-0.15251552231433144
Injections,-0.8861607142857143,-1.3705915178571428,-0.421763392857143,-0.2375279735855896
Alt_route,-0.20535714285714285,-0.3085491071428571,-0.09594866071428575,-0.25777008014359837
Treatment,-0.11607142857142858,-0.16071428571428573,-0.06696428571428571,-0.3114024488054548
