Model,exposure,outcome,direction,evidence_quality,measure,value,lower_ci,upper_ci,Paraphrase,factor1,factor2
claudesonnet4.6,current or recent homelessness,public injecting,increase,strong,aOR,2.87,2.09,3.94,0,,
claudesonnet4.6,current or recent homelessness,injection frequency,increase,moderate,aOR,1.57,1.12,2.2,0,,
claudesonnet4.6,current or recent homelessness,receptive syringe sharing,increase,moderate,aOR,1.72,1.23,2.4,0,,
claudesonnet4.6,current or recent homelessness,personal HCV infection status (RNA-positive),increase,moderate,aOR,,,,0,,
claudesonnet4.6,current or recent homelessness,non-fatal overdose incidence,increase,moderate,aOR,1.59,1.1,2.3,0,,
claudesonnet4.6,current or recent homelessness,number of injection partners,increase,moderate,,,,,0,,
claudesonnet4.6,current or recent homelessness,number of HCV-positive injection partners,increase,weak,,,,,0,,
claudesonnet4.6,current or recent homelessness,engaging in opioid use disorder treatment,decrease,moderate,aOR,,,,0,,
claudesonnet4.6,current or recent homelessness,non-injection routes of opioid administration (smoking/snorting),decrease,weak,null,null,null,null,0,,
claudesonnet4.6,public injecting,personal HCV infection status (RNA-positive),increase,moderate,aOR,1.74,1.13,2.68,0,,
claudesonnet4.6,public injecting,non-fatal overdose incidence,increase,moderate,aOR,1.67,1.22,2.29,0,,
claudesonnet4.6,public injecting,receptive syringe sharing,increase,moderate,aOR,1.84,1.32,2.57,0,,
claudesonnet4.6,public injecting,injection frequency,increase,moderate,aOR,1.58,1.23,2.03,0,,
claudesonnet4.6,public injecting,engaging in opioid use disorder treatment,decrease,moderate,aOR,0.58,0.4,0.85,0,,
claudesonnet4.6,receptive syringe sharing,personal HCV infection status (RNA-positive),increase,strong,aOR,1.76,1.38,2.24,0,,
claudesonnet4.6,receptive syringe sharing,non-fatal overdose incidence,increase,moderate,aOR,,,,0,,
claudesonnet4.6,injection frequency,personal HCV infection status (RNA-positive),increase,strong,aOR,1.77,1.45,2.16,0,,
claudesonnet4.6,injection frequency,non-fatal overdose incidence,increase,moderate,aOR,1.03,1.01,1.05,0,,
claudesonnet4.6,injection frequency,receptive syringe sharing,increase,moderate,aOR,,,,0,,
claudesonnet4.6,injection frequency,non-injection routes of opioid administration (smoking/snorting),decrease,moderate,null,null,null,null,0,,
claudesonnet4.6,personal HCV infection status (RNA-positive),non-fatal overdose incidence,increase,moderate,aHR,1.74,1.19,2.55,0,,
claudesonnet4.6,engaging in opioid use disorder treatment,non-fatal overdose incidence,decrease,moderate,aOR,,,,0,,
claudesonnet4.6,non-injection routes of opioid administration (smoking/snorting),personal HCV infection status (RNA-positive),decrease,moderate,aOR,0.42,0.23,0.77,0,,
claudesonnet4.6,non-injection routes of opioid administration (smoking/snorting),non-fatal overdose incidence,decrease,moderate,aOR,0.52,0.36,0.75,0,,
claudesonnet4.6,using illicitly manufactured fentanyl,injection frequency,increase,moderate,aOR,1.84,1.27,2.67,0,,
claudesonnet4.6,number of injection partners,receptive syringe sharing,increase,strong,aOR,1.47,1.28,1.69,0,,
claudesonnet4.6,number of HCV-positive injection partners,receptive syringe sharing,increase,moderate,aOR,,,,0,,
gpt-oss-120b,current or recent homelessness,public injecting,increase,moderate,,,,,0,,
gpt-oss-120b,current or recent homelessness,injection frequency,increase,moderate,aOR,null,null,null,0,,
gpt-oss-120b,current or recent homelessness,receptive syringe sharing,increase,moderate,null,null,null,null,0,,
gpt-oss-120b,current or recent homelessness,personal HCV infection status (RNA-positive),increase,moderate,null,null,null,null,0,,
gpt-oss-120b,current or recent homelessness,non-fatal overdose incidence,increase,moderate,null,null,null,null,0,,
gpt-oss-120b,current or recent homelessness,number of injection partners,increase,moderate,null,null,null,null,0,,
